data,venda,estoque,preco
17-04-2015,40,1156,1.39
18-04-2015,62,1094,1.39
19-04-2015,62,1032,1.39
20-04-2015,135,897,1.39
21-04-2015,175,722,1.39
22-04-2015,82,736,1.39
23-04-2015,62,674,1.4
24-04-2015,88,586,1.4
25-04-2015,152,434,1.4
26-04-2015,64,370,1.4
27-04-2015,67,591,1.4
28-04-2015,73,806,1.39
29-04-2015,130,676,1.39
30-04-2015,115,657,1.39
01-05-2015,260,397,1.39
02-05-2015,228,169,1.39
03-05-2015,120,49,1.39
04-05-2015,31,18,1.39
05-05-2015,0,18,1.39
06-05-2015,3,15,1.39
07-05-2015,0,15,1.39
08-05-2015,0,15,1.39
09-05-2015,0,15,0
10-05-2015,0,15,1.49
11-05-2015,1,14,1.49
12-05-2015,0,14,1.49
13-05-2015,1,13,1.49
14-05-2015,1,12,1.49
15-05-2015,1,10,1.49
16-05-2015,0,10,1.49
17-05-2015,0,10,1.49
18-05-2015,0,10,1.49
19-05-2015,1,9,1.49
20-05-2015,0,9,1.49
21-05-2015,0,9,1.49
22-05-2015,0,9,1.49
23-05-2015,0,9,1.49
24-05-2015,0,9,1.49
25-05-2015,0,9,1.39
26-05-2015,0,9,1.39
27-05-2015,0,9,1.39
28-05-2015,0,9,1.39
29-05-2015,0,9,1.39
30-05-2015,0,9,1.39
31-05-2015,0,9,1.39
01-06-2015,0,105,1.39
02-06-2015,0,105,1.39
03-06-2015,0,105,1.39
04-06-2015,0,105,1.39
05-06-2015,168,1377,1.39
06-06-2015,201,1176,1.2
07-06-2015,147,1029,1.19
08-06-2015,119,910,1.19
09-06-2015,122,788,1.19
10-06-2015,149,639,1.19
11-06-2015,111,720,1.19
12-06-2015,95,721,1.19
13-06-2015,237,675,1.19
14-06-2015,110,565,1.19
15-06-2015,104,653,1.19
16-06-2015,61,592,1.19
17-06-2015,40,1127,1.29
18-06-2015,114,1301,1.29
19-06-2015,129,1172,1.29
20-06-2015,111,1061,1.29
21-06-2015,146,915,1.29
22-06-2015,57,858,1.49
23-06-2015,19,839,1.49
24-06-2015,27,1291,1.49
25-06-2015,62,1229,1.49
26-06-2015,95,1902,1.49
27-06-2015,183,1719,1.39
28-06-2015,94,1624,1.39
29-06-2015,116,1606,1.39
30-06-2015,63,1543,1.39
01-07-2015,147,1396,1.39
02-07-2015,101,1295,1.39
03-07-2015,248,1047,1.29
04-07-2015,142,905,1.29
05-07-2015,186,719,1.29
06-07-2015,109,898,1.29
07-07-2015,228,957,1.29
08-07-2015,66,1083,1.29
09-07-2015,182,901,1.29
10-07-2015,1,996,1.29
11-07-2015,64,1124,1.29
12-07-2015,118,1006,1.29
13-07-2015,55,950,1.29
14-07-2015,43,907,1.27
15-07-2015,95,812,1.28
16-07-2015,54,758,1.28
17-07-2015,85,673,1.28
18-07-2015,92,869,1.27
19-07-2015,61,808,1.28
20-07-2015,111,697,1.27
21-07-2015,7,1170,1.28
22-07-2015,4,1262,1.28
23-07-2015,66,1292,1.27
24-07-2015,95,1197,1.28
25-07-2015,190,1103,1.27
26-07-2015,60,1043,1.28
27-07-2015,42,1097,1.27
28-07-2015,79,1306,1.27
29-07-2015,109,1581,1.27
30-07-2015,165,1416,1.28
31-07-2015,99,1317,1.27
01-08-2015,233,1084,1.48
02-08-2015,16,1067,1.48
03-08-2015,2,1065,1.46
04-08-2015,5,1060,1.47
05-08-2015,22,1038,1.48
06-08-2015,8,1030,1.49
07-08-2015,65,321,1.48
08-08-2015,157,451,1.48
09-08-2015,65,386,1.48
